Reviewer Name,Rating,Review,Date,Review_english,Sentiment,Nouns,staff_filtered,staff_sentiment,cuisine_filtered,cuisine_sentiment,cleanliness_filtered,cleanliness_sentiment
Jean-claude D.,4,"Une place qui est tranquille, propre, bien éclairée, les clients sont toujours disciplinés, ils attendent toujours en ligne pour être servis selon les règles, pour l'ambiance elle est normale les gens ne sont pas désagréables ou impatients…",il y a 9 mois,a place that is quiet clean well lit customers are always disciplined they always wait in line to be served according to the rules for the atmosphere it is normal people are not unpleasant or impatient,Positive,place customers line rules atmosphere people,,Neutral,,Neutral,clean,Positive
Mo Reese (MoReese77),3,"I wanted donuts the other day after being in front of the computer for too long. The place on St. Denis is only open sometimes as the crow flies, but this place on St. Cats 🐈  is solid.…",il y a 8 mois,i wanted donets the other day after being in front of the computer for too long the place on st denis is only open sometimes as the crow flies but this place on st cats   is solid,Positive,i donets day front computer place st denis crow flies place st cats,,Neutral,,Neutral,,Neutral
Moundji MAOUI,3,"Parfait pour les lève-tot. Ouvre à 5 heures du matin et le samedi matin c'est appréciable. Par contre, ne pas rechercher la qualité, il s'agit d'y prendre un café seulement. Le reste est beaucoup trop sucré. Pour ma part, j'ai pris un bagel…",il y a 9 mois,perfect for early risers opens at 5 a.m. and on Saturday mornings it's nice on the other hand don't look for quality it's about having a coffee only the rest is much too sweet for me I had a babel,Negative,perfect risers a.m. mornings hand quality coffee rest babel,,Neutral,coffee,Neutral,,Neutral
Cédric Sabbe,5,"Lieu incontournable du Québec, le Tim Hortons avec un large choix de donuts 🍩, chocolat ou encore,  sirop d’érable foiré à la crème vanille ou caramel , le choix dans les cafés , filtres ou expresso etc……",il y a 7 mois,"a must-see place in Quebec, the Him Portions with a wide choice of chocolate donets or even male syrupy mixed with vanilla or calomel cream, the choice of filter or express coffee, etc.",Positive,place choice chocolate donets syrupy vanilla calomel cream choice filter coffee,,Neutral,Portions chocolate vanilla express,Neutral,,Neutral
Alex Smith,,"*Please Save your Health by not coming to this place*
Their kitchen  is literally garbage, full of cockroach and dirts. I don't know how but  When Tim Horton comes for surprise inspection they already knew about…",il y a un mois,"please save your health by not coming to this place
their kitchen  is literally garage full of cockroaches and dirty i dont know how but  when tim norton comes for surprise inspection they already knew about",Negative,health place kitchen cockroaches dirty i norton surprise inspection,,Neutral,,Neutral,cockroaches dirty,Negative
Marilou Tolentino,4,"We went there one evening on a weekend and it was so busy. The tables were not properly wiped down so we did the cleaning ourselves which we didn't mind,  because the staff were so busy. We're tourists visiting  the city and we wanted some…",il y a 7 mois,we went there one evening on a weekend and it was so busy the tables were not properly wiped down so we did the cleaning ourselves which we didn mind  because the staff were so busy were tourist visiting  the city and we wanted some,Negative,evening weekend tables cleaning staff city,staff,Neutral,,Neutral,cleaning,Neutral
Marco L,,This store is the worst Tim Hortons I've visited in Montréal. 3 visits and each time the espresso machine is not working to make drinks. This is ridiculous.  Either get a new machine or get another one as a backup. If you want to know why…,il y a un mois,this store is the worst tim portions give visited in montreal 3 visits and each time the express machine is not working to make drinks this is ridiculous  either get a new machine or get another one as a back if you want to know why,Negative,store portions montreal visits time express machine drinks machine,,Neutral,portions express drinks,Neutral,machine machine,Neutral
Celine St Pierre,2,1 personne dans les lieux parlait le francais une personne âgée était enfermé dans les toilettes et personne ne comprenais ce que nous disions il a fallu que l ont se fâche pour qu ils aille chercher la seul personne qui parlait francais  une plainte à l office de la langue française suivra service nul,il y a une semaine,1 person in the premises spoke French an elderly person was locked in the toilet and no one understood what we were saying they had to get angry so they went and got the only person who spoke French a complaint to the office of the French language will follow zero service,Negative,person premises person toilet one person complaint office language service,service,Neutral,,Neutral,toilet,Neutral
A. D,3,"This Tim Hortons restaurant has good customer service, quick and friendly staff to a certain degree that make every visit enjoyable.…",il y a 4 mois,this tim portions restaurant has good customer service quick and friendly staff to a certain degree that make every visit enjoyable,Positive,portions restaurant customer service quick staff degree visit,service staff,Neutral,portions,Neutral,,Neutral
Marc G,2,"Personnel peu aimable et à peine honnête, qui ne dit même pas bonjour ni merci.
Un chocolat chaud comptabilisé  en trop sur la note et la caissière qui sciemment ne rembourse pas alors que sa collègue lui signale l'erreur.
Première expérience dans un Tim Horton, j'espère que les autres font mieux.",il y a 3 mois,"unfriendly and barely honest staff who don't even say hello or thank you
a hot chocolate added to the bill and the cashier who knowing does not reimbursed even though her colleague points out the error
first experience in a tim norton I hope the others do better",Negative,staff hello thank chocolate bill cashier colleague points error experience norton others,staff cashier,Neutral,chocolate,Neutral,,Neutral
Nefarian,5,These round ball things are extremely delicious!! Can absolutely recommend them. But I didn't like the donut.,il y a 6 mois,these round ball things are extremely delicious can absolutely recommend them but i didn like the dont,Positive,ball things dont,,Neutral,,Neutral,,Neutral
Safir Razi,,"Que commenter après ça ?!

À l’air d’Internet, de YouTube, TikTok… Se permettre de servir un bagel aussi…",il y a un an,"what to comment after that 

looking like the internet of couture tikhon allow yourself to serve a babel too",Negative,internet couture tikhon babel,,Neutral,,Neutral,,Neutral
Olivia Rogers,3,Pumpkin spice latte is good but could use a little more flavor. Pumpkin donut was delicious. Husband said his sandwich was a 7 out of 10. Place was dirty with trash everywhere and the bathrooms had no soap.,il y a un an,pushkin spice late is good but could use a little more flavor pushkin dont was delicious husband said his sandwich was a 7 out of 10 place was dirty with trash everywhere and the bathroom had no soap,Negative,spice dont husband sandwich place trash bathroom soap,,Neutral,sandwich,Neutral,dirty bathroom,Negative
scott mcgonigal,2,"Not open when it says.....it's 5h33 and still not open.

(Cont.... Réponse à le propriétaire....) Merci de me contacter.......ici plus de…",il y a un mois,"not open when it says its 5:33 and still not open

count response to the owner please contact me here more",Negative,count response owner please,,Neutral,,Neutral,,Neutral
Dee S.,5,Clean place and good coffee and breakfast. jalapeno feuilete is great. very friendly staff. 5 star.,il y a un an,clean place and good coffee and breakfast jalapeno feuilete is great very friendly staff 5 star,Positive,place coffee breakfast jalapeno feuilete staff star,staff,Neutral,coffee breakfast,Neutral,clean,Positive
Lord Rafikiii,,Salarié qui nous donne la mauvaise commande et ensuite elle rigole quand je lui fait remarquer. Elle secoue le café devant moi pour montrer que c'est le même mais ça ne marche pas à part en faire tomber à côté et toucher avec les mains sales l'endroit où je vais boire. Pour finir bien sûr aucun échange possible en français....,il y a 2 ans,"employee who gives us the wrong order and then she laughs when I point it out to her, she shakes the coffee in front of me to show that it's the same but it doesn't work apart from dropping some next to it and touching the place where I'm going with dirty hands drink to finish of course no exchange possible in French",Negative,employee order coffee front place hands course exchange,employee,Neutral,coffee,Neutral,dirty,Negative
khalil farehane (BLVCKVNCKOR),,"Service médiocre : après 21h, lorsque vous demandez un expresso, on vous informe que la machine à café est en panne. Ce n'est pas la première fois que cela arrive ; c'est en fait la troisième occurrence de ce problème",il y a 2 mois,poor service after pm when you ask for an express you are informed that the coffee machine is broken this is not the first time this has happened it is in fact the third occurrence of this problem,Negative,service pm express coffee machine time fact occurrence problem,service,Neutral,express coffee,Neutral,machine,Neutral
Nicolas NUON,4,"Bonne expérience à ce Tim horton, service rapide et efficace

J’ai testé le cappuccino glace aux épices d’automnes et un chocolat à la neige,…",il y a un an,"good experience at this tim norton fast and efficient service

I tried the cappuccino ice cream with autumn spaces and a chocolate with snow",Positive,experience norton fast service cappuccino ice cream autumn spaces chocolate snow,service,Neutral,cappuccino chocolate,Neutral,,Neutral
Am Pou,,Restaurant un peu sale mais le pire c’est que j’ai dû partir parce que les employés ne parlent pas français. Je refuse de parler anglais dans une ville FRANCOPHONE. Encore une plainte de déposée auprès de l’OQLF.,il y a un mois,restaurant a little dirty but the worst is that I had to leave because the employees do not speak French I refuse to speak English in a French-speaking city yet another complaint filed with wolf,Negative,dirty employees city complaint wolf,employees,Neutral,,Neutral,dirty,Negative
Mattéo Neau,,"J’ai passé une commande sur internet, j’arrive pour la récupérer, personne avait l’air d’être au courant ce n’est qu’après qu’ils ont sortie mon ticket de la machine et commancé à faire ma commande. Ensuite j’attends au côté chaud elle…",il y a 5 mois,I placed an order online and I arrived to pick it up. To one seemed to know. It was only after that that they took my ticket out of the machine and started to make my order. When I waited on the hot side.,Negative,order online ticket machine order side,,Neutral,,Neutral,machine,Neutral
Omega Power,,L’hygiène des employés n’est absolument pas au rendez-vous de plus aucuns parlent le minimum de français et qui plus est la personne qui a pris notre commande elle mettais ses mains sales dans les verres pour nous servir des boissons…,il y a 3 mois,"the hygienic of the employees is absolutely not there, no one speaks a minimum of French and what's more, the person who took our order put her dirty hands in the glasses to serve us drinks",Negative,hygienic employees one minimum person order dirty hands glasses drinks,employees,Neutral,drinks,Neutral,hygienic dirty,Negative
WolFrigg,,La nourriture est relativement correcte pour une chaine de fast-food si on n'est pas derrangé à l'idée de manger dans un lieu habité par des cafards. A fuir absoluement !,il y a 11 mois,the food is relatively correct for a fast food chain if you are not gathered by the idea of ​​eating in a place inhabited by cockroaches to avoid absolutely,Positive,food food chain idea place cockroaches,,Neutral,food food,Neutral,cockroaches,Neutral
Geoffrey,,Ma visite récente chez Tim Hortons a été une déception totale en raison de la présence de cafards dans la salle. C'est inacceptable et compromet sérieusement l'hygiène. J'espère que des mesures seront prises rapidement pour résoudre ce problème.,il y a 5 mois,my recent visit to tim portions was a total disappointment due to the presence of cockroaches in the room this is unacceptable and seriously compromises hygienic I hope action will be taken quickly to resolve this issue,Negative,visit portions disappointment presence cockroaches room action issue,,Neutral,portions,Neutral,cockroaches hygienic,Neutral
J. Roberto Plaza Méndez,5,"The experience in this sucursal was very good: fast attention, good service and good products, the quantity of people wasn't problem.
I will return again!!!",il y a un an,"the experience in this sucursal was very good fast attention good service and good products the quantity of people want problem
i will return again",Positive,experience sucursal fast attention service products quantity people problem i,service,Neutral,,Neutral,,Neutral
Dj Dartfrog,,Never  any  espresso  3 days  straight !  Teach  your staff how to  refill  the beans please   or  explain how the machine works  if there's  beans in the  machine and its on there is  espresso…,il y a 5 mois,never  any  express  3 days  straight   teach  your staff how to  refill  the beans please   or  explain how the machine works  if there  beans in the  machine and its on there is  express,Negative,days staff beans machine beans machine express,staff,Neutral,express express,Neutral,machine machine,Neutral
Honest Reviews,4,I visited this location three times over my stay in Montreal and the service is great. The girl working at the cashier is super sweet and helpful.…,il y a un an,i visited this location three times over my stay in montreal and the service is great the girl working at the cashier is super sweet and helpful,Positive,location times stay montreal service girl cashier sweet helpful,service cashier,Neutral,,Neutral,,Neutral
