Word,Frequency
food,31
consistently,1
pretty,2
bad,17
today,2
last,6
straw,1
received,4
english,6
muffin,2
covered,1
mold,1
service,93
good,56
girl,3
counter,3
polite,2
complain,2
give,8
extra,3
paper,5
bag,1
sighed,1
rolled,1
eyes,1
tims,10
locations,2
one,21
didnt,12
timbits,5
fresh,9
variety,1
teacher,2
purchased,1
dozen,1
donuts,18
students,1
day,7
school,1
opened,2
box,2
class,1
live,1
earwig,1
inside,6
know,5
along,2
way,6
closed,4
carrying,1
come,8
every,8
morning,11
im,9
loyal,1
customer,8
usually,3
enjoy,3
love,11
staff,34
however,2
found,2
entire,1
dead,1
wasp,1
ice,2
cap,1
fly,1
raining,1
wasps,1
flying,1
around,6
according,2
tom,1
horton,6
standards,1
welcoming,1
interested,1
help,3
tourist,1
montreal,6
hot,10
drinks,4
cold,7
ones,3
yet,1
told,7
us,1
already,2
made,3
purchase,1
asked,4
dairy,2
said,2
couldnt,1
tell,2
store,7
dont,17
use,1
great,26
coffee,56
clean,15
café,1
hang,3
annoying,1
thing,2
door,2
first,6
time,24
place,42
unfortunately,5
saw,3
beetle,1
walking,1
red,1
wood,1
thei,1
attached,1
photo,1
wall,1
next,6
many,4
speak,15
French,23
poor,6
understanding,2
orders,10
end,1
check,2
order,33
big,4
possibility,1
get,14
wanted,4
summer,1
fridge,1
enough,2
milk,3
longer,1
tim,55
hortons,35
sooooo,1
almost,4
got,5
feel,2
like,23
employees,19
teenagers,1
0,1
respect,3
certain,1
group,1
race,1
anyways,1
going,5
deep,1
experience,8
client,1
team,4
since,3
open,5
fine,3
except,1
charges,1
always,33
1,3
combo,2
timatin,1
instead,4
correcting,1
mistake,3
keeps,1
arguing,1
listening,1
dirty,14
disgusting,7
health,1
inspectors,1
shut,1
cockroaches,1
running,1
moldy,1
insects,1
look,2
reviews,1
9,1
p.m.,2
ask,6
espresso,2
informed,1
machine,2
broken,2
happened,2
fact,2
third,2
occurrence,1
problem,2
donut,4
even,17
sweet,1
took,3
maple,1
pecan,1
Sunday,1
afternoon,2
"people,",1
fast,29
unacceptable,3
thank,2
care,5
customers,12
unrepresentative,1
Montreal,2
sad,1
dry,1
burnt,2
prepared,3
mobile,1
15,3
minutes,9
late,4
served,8
English,5
without,2
obviously,1
breakfast,6
wraps,2
sandwiches,5
literally,2
inedible,1
awful,2
americans,1
comparable,1
dunkin,3
beat,1
much,5
better,14
google,3
says,1
went,8
cherry,1
top,1
employee,11
sleeping,2
either,3
change,3
timings,1
actual,1
working,6
hours,5
forgot,3
well,15
cant,2
say,5
trying,2
stood,2
stared,1
ordered,10
double,6
millions,1
unusual,1
amount,4
make,5
snap,1
location,5
within,2
downtown,4
area,3
quite,3
spacious,2
provides,2
space,3
people,2
sit,1
workers,5
friendly,13
also,7
close,8
stores,1
areas,1
makes,5
convenient,4
far,4
glaze,1
point,3
laitues,1
put,7
rotten,2
tastes,1
musty,1
slow,12
sometimes,6
stink,1
weird,2
odour,1
doors,2
locked,1
opposite,1
sausage,1
4,3
excellent,10
tasty,3
matin,1
hit,1
spot,1
bonus,1
easter,1
sunday,1
tried,1
amazing,2
chocolate,7
special,3
topping,1
perfectly,1
ok,6
largely,1
French-speaking,1
clientele,1
force,2
adapt,1
rather,2
uncomfortable,1
addition,3
toilets,5
poorly,3
stocked,2
take,6
break,2
8,2
years,2
cockroach,1
wandering,1
panini,1
"host,",1
showed,1
reaction,1
rude,5
waitress,1
night,7
handle,1
cakes,2
shops,1
causing,1
cream,2
dessert,1
congeal,1
bagand,1
threw,2
meal,3
directly,1
table,3
never,7
go,10
cashier,4
simply,1
bits,1
whatever,1
fan,1
less,4
worst,12
wrap,4
burned,1
french,8
vanilla,6
reason,1
someone,1
please,3
explain,1
unbelievable,1
2023,1
update,2
schedules,1
online,1
super,8
disappointed,3
business,1
worth,1
money,1
wasted,1
rating,1
think,2
visit,2
31122022,1
1300,1
ladys,1
guy,6
serivce,1
treating,1
bothering,1
several,1
times,5
single,2
bagel,6
toasted,1
near,3
workplace,1
accessible,1
services,2
really,13
unsatisfied,1
ortons,2
personal,2
nonsense,1
that's,1
hard,2
hello,2
mother,2
watching,1
menu,3
televisions,1
ladies,1
pressured,1
laughed,1
among,1
understand,6
specified,1
new,2
vegan,1
sandwich,6
eventually,1
ran,1
substituted,1
another,6
cost,1
original,1
offered,1
refund,1
price,4
difference,1
lots,2
crusts,1
eat,3
superb,1
restaurant,6
would,5
send,1
cat,1
dog,1
toilet,2
imagine,2
human,1
worry,1
cleanliness,2
kitchen,1
regularly,2
positive,2
energy,1
keep,2
forgetting,1
cardboard,1
majority,1
difficulty,1
charged,1
twice,3
came,3
back,8
mention,1
nothing,8
could,6
done,4
boycotted,1
franchise,1
lack,4
towards,1
cannot,1
assume,1
wrong,5
following,1
normal,2
taking,4
procedure,1
talk,2
language,3
judge,2
front,3
city,4
gets,1
wasnt,3
alone,1
avoid,3
2100,1
decent,3
selection,3
fancy,1
items,2
rare,1
exhausted,1
brought,1
ever,8
lost,2
weirdo,1
shop,3
began,1
things,1
unpleasanti,1
wont,1
step,1
foot,1
counters,1
empty,2
therefore,1
choices,1
floors,1
excessively,1
tables,7
cleaned,2
long,7
latte,4
aftertaste,1
cigarettes,1
spent,1
20,3
waiting,3
nobody,1
line,5
2,3
girls,2
kept,1
asking,1
prepare,1
gestures,1
average,4
bit,3
distracted,1
need,6
speakunderstand,1
learn,1
sign,1
want,3
plus,3
leave,1
Tim,3
Hortons,2
meeting,1
friends,2
canceled,1
croissant,1
gave,3
boost,1
sure,1
horrible,4
unfriendly,1
work,8
public,1
move,1
job,4
person,1
making,3
touching,1
everything,6
including,1
cash,4
telephone,1
insist,1
gloves,1
justify,1
busy,6
happens,1
absolutly,1
trash,1
mess,1
ur,1
environment,1
usual,2
beggel,1
theyre,1
although,1
nice,22
try,2
best,10
serve,2
smile,3
everyday,1
potty,1
mouth,2
especially,3
compared,3
starbucks,2
hands,1
constantly,1
though,3
wonder,1
ive,4
worked,1
foodservice,1
aware,1
might,1
issues,1
hemal,1
patel,1
pay,7
timeworst,1
owner,1
stupid,2
ready,2
September,1
1st,1
two,2
register,3
respond,1
errors,2
full,3
sugar,2
often,3
regarding,1
unsatisfactory,1
clerk,1
25,1
cents,1
scandal,1
speaks,2
word,2
town,2
hall,1
businesses,1
organization,3
collect,1
confusing,1
safety,1
neglected,1
freezing,1
fulfill,1
hydration,1
function,1
choose,2
path,1
politeness,1
covers,1
ordering,4
little,9
Asian,1
mood,1
honey,1
access,1
bathroom,1
perfect,2
whenever,1
huge,1
mistakes,1
white,1
bread,1
lasts,1
12,1
5,6
bake,1
happen,1
correct,5
friend,2
flavor,1
whole,1
wheat,1
small,2
uncut,1
thus,1
depriving,1
couple,1
indian,2
guys,1
behind,1
bother,1
sucks,1
write,2
review,1
efficient,8
choice,2
salty,1
menus,1
unlike,1
branches,2
branch,3
quick,9
repair,1
still,8
despite,5
midafternoon,1
assistant,1
facilities,1
gross,1
classic,2
doubledouble,1
must,2
delightful,1
manager,1
looks,1
badass,1
bollywood,1
actor,1
definitely,2
suggest,1
giving,2
terrible,4
cafémoka,1
water,1
courteous,3
he's,3
happy,2
looking,2
elsewhere,1
daytime,1
wanna,1
meals,2
tonight,1
0000,1
mean,2
ago,1
anymore,1
corner,1
sturbain,1
ste,1
catherine,1
management,1
system,2
hire,1
properly,1
embarrassed,1
call,1
interview,1
lot,2
questions,1
replied,1
positively,1
days,2
taste,1
wait,8
10,3
didnot,1
unsatisfy,1
