Word,Frequency
place,55
quiet,3
clean,22
well,12
lit,1
customers,9
always,20
disciplined,1
wait,7
line,6
served,10
according,1
rules,1
atmosphere,5
normal,3
people,11
unpleasant,1
impatient,1
wanted,5
donuts,13
day,6
front,3
computer,1
long,8
st,2
denis,1
open,15
sometimes,2
crow,1
flies,1
cats,1
solid,3
perfect,5
early,1
risers,1
opens,2
5,5
a.m.,4
Saturday,1
mornings,1
nice,36
hand,2
look,1
quality,4
coffee,89
rest,4
much,7
sweet,7
I,67
bagel,5
must-see,1
"Quebec,",1
Tim,8
Hortons,4
wide,2
choice,6
chocolate,12
even,17
maple,3
syrup,1
mixed,3
vanilla,5
caramel,2
"cream,",1
filter,1
espresso,7
"coffees,",1
etc.,1
please,5
save,1
health,2
coming,1
kitchen,1
literally,1
garbage,1
full,4
cockroach,3
dirts,1
dont,9
know,9
tim,57
horton,10
comes,1
surprise,1
inspection,1
already,2
knew,1
went,5
one,19
evening,1
weekend,1
busy,4
tables,6
properly,4
wiped,1
cleaning,3
didnt,7
mind,1
staff,48
tourists,2
visiting,1
city,3
store,5
worst,7
hortons,30
ive,3
visited,6
montréal,2
3,6
visits,1
time,28
machine,6
working,4
make,10
drinks,9
ridiculous,1
either,1
get,18
new,3
another,6
backup,1
want,13
1,5
person,5
premises,2
spoke,4
French,38
elderly,1
locked,1
toilet,3
understood,1
saying,1
angry,1
got,8
complaint,3
office,1
language,1
follow,2
zero,5
service,103
restaurant,5
good,101
customer,9
quick,10
friendly,17
certain,2
degree,1
every,11
visit,7
enjoyable,1
unfriendly,3
barely,3
honest,2
say,6
hello,2
thank,2
hot,18
added,1
bill,1
cashier,7
knowingly,1
reimburse,1
though,3
colleague,2
points,1
error,1
first,5
experience,8
hope,2
others,3
better,12
round,1
ball,1
things,3
extremely,3
delicious,13
absolutely,4
recommend,4
like,26
donut,6
comment,1
looking,2
internet,3
youtube,1
tiktok,1
allow,1
serve,7
pumpkin,2
spice,1
latte,3
could,4
use,7
little,7
flavor,3
husband,1
said,6
sandwich,5
7,1
10,5
dirty,13
trash,2
everywhere,1
bathrooms,3
soap,1
says,1
5:33,1
still,8
cont,1
response,1
owner,3
contact,1
breakfast,15
jalapeno,1
feuilete,1
great,20
star,4
employee,6
gives,1
us,7
wrong,2
order,30
laughs,1
point,1
"her,",1
shakes,1
show,1
work,4
apart,2
dropping,1
next,3
touching,1
I'm,4
going,2
hands,3
drink,11
finish,2
course,3
exchange,1
possible,2
poor,2
9pm,1
ask,5
informed,1
broken,1
happened,2
fact,3
third,1
occurrence,1
problem,2
fast,33
efficient,8
tried,4
cappuccino,6
ice,4
cream,3
autumn,1
spices,1
snow,1
leave,2
employees,23
speak,20
refuse,1
English,8
French-speaking,1
yet,2
filed,1
loqlf,1
placed,1
online,2
arrived,2
pick,1
up.,1
No,1
seemed,2
know.,1
It,3
took,4
ticket,1
started,1
order.,1
Then,1
waited,4
side.,1
hygiene,2
"there,",1
speaks,2
minimum,1
what's,1
"more,",1
put,5
glasses,1
food,29
relatively,2
correct,4
chain,4
bothered,1
idea,1
​​eating,1
inhabited,1
cockroaches,4
avoid,1
recent,1
total,1
disappointment,2
due,1
presence,1
room,4
unacceptable,4
seriously,2
compromises,1
action,1
taken,1
quickly,5
resolve,1
issue,3
sucursal,1
attention,4
products,4
quantity,1
wasnt,2
return,2
never,7
days,2
straight,1
teach,1
refill,1
beans,2
explain,1
works,1
theres,2
location,9
three,2
times,8
stay,1
montreal,7
girl,3
super,13
helpful,2
cold,6
twice,3
charged,1
ever,5
supervisor,1
team,3
lost,4
shelves,1
disgutsing,1
stayed,1
doughnut,1
mentioned,1
two,2
thats,3
unsafe,1
whole,2
must,5
closed,5
cleaned,2
"meal,",1
waiting,4
dish,1
enough,3
satisfy,1
everyone,4
owner's,1
"benefit,",1
politely,2
come,5
fill,1
form,1
care,1
customers',1
feedback,1
makes,3
messy,4
refused,4
1120,1
personally,1
asked,8
kamal,1
repeatedly,1
frankly,1
averge,1
spend,1
around,4
78,1
dry,1
bread,4
unilingual,1
English-speaking,1
far,2
standards,3
ended,1
emptying,1
20,3
waste,1
preparation,2
longer,3
respects,1
hygienic,2
conditions,2
prepared,1
"me,",2
table,3
really,21
enjoyed,3
shell,1
pasta,1
chicken,6
soup,1
habanero,1
salad,1
lazy,1
workers,2
1040,1
improve,1
hiring,1
process,1
canada,6
second,4
home,1
pure,1
happiness,1
iced,11
killer,1
reimbursed,1
cesu,1
brings,1
pleasure,1
respected,1
brother,1
530,1
outside,5
temperature,1
4,4
c,1
worker,1
inside,5
act,1
hi,2
someone,3
disgusting,3
burned,1
wrap,6
give,6
otherwise,2
excellent,14
mark,1
delay,1
might,1
vary,1
depending,1
doesnt,3
take,11
morning,4
paced,1
We,1
love,10
loves,1
much.,1
The,1
ordered,13
courteous,7
waitress,1
mistake,5
taking,1
cleanliness,1
reviewed,2
brand,2
frosted,1
pretty,3
push,1
"choice,",1
discover,2
rather,1
affordable,7
menu,3
thin,1
slice,1
gets,1
opened,1
earlier,1
expected,1
thankfully,1
loved,4
deserve,1
heavy,2
heart,1
Montreal,4
Quebec,3
displayed,2
nothing,4
reality,1
best,19
example,1
destroy,1
simply,1
disaster,3
horrible,4
caffeine,2
gave,6
bad,15
mental,1
also,8
apology,1
specifically,2
without,2
sugar,3
plus,5
club,3
impossible,3
sit,4
minutes,3
massager,1
